种类,名称,简介,价格,标签
月包,300GB 国内流量,419元/次,419,
月包,200GB 国内流量,279/次,279,
月包,50GB 升级包,5G升级包,100,
月包,50GB 升级包,5G升级包,100,
月包,50GB 权益包,大流量权益包升级版,105,
月包,33GB 升级包,5G升级包,70,
月包,23GB 升级包,5G升级包,50,
月包,20GB,20元20GB夜间包（立即生效）,20,
月包,13GB 升级包,5G升级包,30,
月包,13GB 升级包,5G升级包,30,
月包,10GB 夜间流量包,晚23时至早7时可用,10,
月包,8GB 升级包,5G升级包,20,
月包,5GB 视频彩铃,视频彩铃5G铂金版,19,
月包,5GB 联通云盘,尊享云盘+流量,20,
月包,3GB 升级包,5G升级包,10,
月包,2GB 视频彩铃,视频彩铃5G精选版,9,
月包,2GB 联通云盘,普享云盘+流量,10,
月包,2GB 安全管家,安全管家基础版,10,
月包,1GB 视频彩铃,视频彩铃5G标准版,6,
权益包,33GB 权益包,大流量权益包升级版,75,
权益包,28GB 权益包,大流量权益包升级版,65,
权益包,23GB 权益包,大流量权益包升级版,55,
权益包,18GB 权益包,大流量权益包升级版,45,
权益包,13GB 权益包,大流量权益包升级版,35,
权益包,8GB 权益包,大流量权益包升级版,25,
权益包,5GB 美图秀秀,粉钻月卡+1GB,18,领月卡
权益包,5GB 通用流量,5G宽视界+热门会员,20,
权益包,4GB 云加速,4GB+应用加速,25,每月领礼包
权益包,4GB 云加速省分,4GB+应用加速,25,
权益包,3GB 通用流量,畅看院线首发大片,9.9,
权益包,3GB 通用流量,畅看院线首发大片,9.9,
权益包,3GB 权益包,大流量权益包升级版,10,
权益包,3GB 通用流量,5G宽视界+联通云盘,16,
权益包,3GB 云加速,3GB+应用加速,20,每月领礼包
权益包,2GB 通用流量,5G宽视界权益多选2,12,
权益包,2GB 云加速,2GB+游戏加速,15,每月领礼包
权益包,云加速,游戏加速,10,
权益包,云加速,应用加速,15,
加速包,20GB 加速包,流量敞开用加速包,30,
加速包,10GB 加速包,流量敞开用加速包,20,
加速包,5GB 加速包,流量敞开用加速包,10,
出境包,15GB-35GB港澳共享,赠送30-100分钟漫游语音,59,
出境包,流量叠加月包,不使用不收费,19,
出境包,高速叠加包,不使用不收费,20,
出境包,畅游升级包,2GB/月立即生效,39,
出境包,升级包大会员,送哔哩哔哩大会员,50,
小时包,100GB 小时包,4小时有效,5,
小时包,3GB 小时包,国内流量小时包,5,
定向包,25GB 快手,专属大流量月包,15,热销
定向包,20GB 精品听书,定向流量+超人气听书,15,
定向包,20GB 大神IP,定向流量+超级大神书,15,
定向包,20GB 抖音,大流量月包+5G速率,29,返话费
定向包,20GB定向流量,抖音定向流量包30元20GB,30,
定向包,15GB 芒果TV,专属大流量月包,15,
定向包,15GB 腾讯视频,专属大流量月包,15,
定向包,15GB 优酷视频,专属大流量月包,15,
定向包,15GB 爱奇艺,专享大流量包,15,
定向包,15GB 哔哩哔哩,特惠大流量包,15,
定向包,15GB 抖音,视频彩铃+专属流量,15,
定向包,15GB 哔哩哔哩,B站大会员+专属流量,25,
